Symbol,Company_Name,Sector,Industry,Market_Cap,Exchange
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,360307163136,NYQ
BAX,Baxter International Inc.,Healthcare,Medical Instruments & Supplies,14994973696,NYQ
BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies,53114011648,NYQ
BRK-B,Berkshire Hathaway Inc.,Financial Services,Insurance - Diversified,1044361641984,NYQ
BBY,"Best Buy Co., Inc.",Consumer Cyclical,Specialty Retail,14253242368,NYQ
TECH,Bio-Techne Corporation,Healthcare,Biotechnology,9214764032,NMS
BIIB,Biogen Inc.,Healthcare,Drug Manufacturers - General,19271362560,NMS
BLK,"BlackRock, Inc.",Financial Services,Asset Management,173883752448,NYQ
BX,Blackstone Inc.,Financial Services,Asset Management,219087945728,NYQ
XYZ,"Block, Inc.",Technology,Software - Infrastructure,49656635392,NYQ
BK,The Bank of New York Mellon Corporation,Financial Services,Banks - Diversified,71172923392,NYQ
BA,The Boeing Company,Industrials,Aerospace & Defense,175728640000,NYQ
BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,183275749376,NMS
BSX,Boston Scientific Corporation,Healthcare,Medical Devices,157028827136,NYQ
BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,98558918656,NYQ
AVGO,Broadcom Inc.,Technology,Semiconductors,1364852867072,NMS
BR,"Broadridge Financial Solutions, Inc.",Technology,Information Technology Services,29799188480,NYQ
BRO,"Brown & Brown, Inc.",Financial Services,Insurance Brokers,34096480256,NYQ
BF-B,Brown-Forman Corporation,Consumer Defensive,Beverages - Wineries & Distilleries,14599219200,NYQ
BLDR,"Builders FirstSource, Inc.",Industrials,Building Products & Equipment,15080878080,NYQ
BG,Bunge Global SA,Consumer Defensive,Farm Products,15455311872,NYQ
BXP,"BXP, Inc.",Real Estate,REIT - Office,12690148352,NYQ
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,Integrated Freight & Logistics,12194861056,NMS
CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application,90701815808,NMS
CZR,"Caesars Entertainment, Inc.",Consumer Cyclical,Resorts & Casinos,6147533824,NMS
CPT,Camden Property Trust,Real Estate,REIT - Residential,12130386944,NYQ
CPB,The Campbell's Company,Consumer Defensive,Packaged Foods,9736925184,NMS
COF,Capital One Financial Corporation,Financial Services,Credit Services,136117583872,NYQ
CAH,"Cardinal Health, Inc.",Healthcare,Medical Distribution,37505703936,NYQ
KMX,"CarMax, Inc.",Consumer Cyclical,Auto & Truck Dealerships,9112372224,NYQ
CCL,Carnival Corporation & plc,Consumer Cyclical,Travel Services,40337428480,NYQ
CARR,Carrier Global Corporation,Industrials,Building Products & Equipment,68866080768,NYQ
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,203999133696,NYQ
CBOE,"Cboe Global Markets, Inc.",Financial Services,Financial Data & Stock Exchanges,25812801536,BTS
CBRE,"CBRE Group, Inc.",Real Estate,Real Estate Services,43991355392,NYQ
CDW,CDW Corporation,Technology,Information Technology Services,23853420544,NMS
COR,"Cencora, Inc.",Healthcare,Medical Distribution,56278446080,NYQ
CNC,Centene Corporation,Healthcare,Healthcare Plans,13943265280,NYQ
CNP,"CenterPoint Energy, Inc.",Utilities,Utilities - Regulated Electric,25043902464,NYQ
CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,15115533312,NYQ
CRL,"Charles River Laboratories International, Inc.",Healthcare,Diagnostics & Research,8690040832,NYQ
SCHW,The Charles Schwab Corporation,Financial Services,Capital Markets,176355098624,NYQ
CHTR,"Charter Communications, Inc.",Communication Services,Telecom Services,42309066752,NMS
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,314825310208,NYQ
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,Restaurants,62699544576,NYQ
CB,Chubb Limited,Financial Services,Insurance - Property & Casualty,107299602432,NYQ
CHD,"Church & Dwight Co., Inc.",Consumer Defensive,Household & Personal Products,23945512960,NYQ
CI,The Cigna Group,Healthcare,Healthcare Plans,79173173248,NYQ
CINF,Cincinnati Financial Corporation,Financial Services,Insurance - Property & Casualty,23351816192,NMS
CTAS,Cintas Corporation,Industrials,Specialty Business Services,90083057664,NMS
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,272012410880,NMS
C,Citigroup Inc.,Financial Services,Banks - Diversified,176855252992,NYQ
CFG,"Citizens Financial Group, Inc.",Financial Services,Banks - Regional,21417738240,NYQ
CLX,The Clorox Company,Consumer Defensive,Household & Personal Products,16122724352,NYQ
CME,CME Group Inc.,Financial Services,Financial Data & Stock Exchanges,100744224768,NMS
CMS,CMS Energy Corporation,Utilities,Utilities - Regulated Electric,21770244096,NYQ
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,297684828160,NYQ
CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,37793861632,NMS
COIN,"Coinbase Global, Inc.",Financial Services,Financial Data & Stock Exchanges,99757760512,NMS
CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,71260225536,NYQ
CMCSA,Comcast Corporation,Communication Services,Telecom Services,125751017472,NMS
CAG,"Conagra Brands, Inc.",Consumer Defensive,Packaged Foods,9171680256,NYQ
COP,ConocoPhillips,Energy,Oil & Gas E&P,119865827328,NYQ
ED,"Consolidated Edison, Inc.",Utilities,Utilities - Regulated Electric,36843868160,NYQ
STZ,"Constellation Brands, Inc.",Consumer Defensive,Beverages - Brewers,30947860480,NYQ
CEG,Constellation Energy Corporation,Utilities,Utilities - Renewable,102597050368,NMS
COO,"The Cooper Companies, Inc.",Healthcare,Medical Instruments & Supplies,14881673216,NMS
CPRT,"Copart, Inc.",Industrials,Specialty Business Services,45146238976,NMS
GLW,Corning Incorporated,Technology,Electronic Components,47414235136,NYQ
CPAY,"Corpay, Inc.",Technology,Software - Infrastructure,23676618752,NYQ
CTVA,"Corteva, Inc.",Basic Materials,Agricultural Inputs,50091741184,NYQ
CSGP,"CoStar Group, Inc.",Real Estate,Real Estate Services,39386738688,NMS
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,414866538496,NMS
CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P,18035857408,NYQ
CRWD,"CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure,116628127744,NMS
CCI,Crown Castle Inc.,Real Estate,REIT - Specialty,48544972800,NYQ
CSX,CSX Corporation,Industrials,Railroads,66666651648,NMS
CMI,Cummins Inc.,Industrials,Specialty Industrial Machinery,50903228416,NYQ
